user_name,nickname,favs,rts,favs_rts,tweet_content,hour,date_yyyy_mm_dd,date_dd_mm_yyyy,time_code_utc
Hopeless Records,hopelessrecords,112,60,172,"Welcome @Emarosa to the #HopelessFamily! New single out now!
📺: https://t.co/CuiFV5p0rW
🎧: https://t.co/lrILpfmBki https://t.co/0feEWqc98E",18:07:01,2016-04-28,2016-04-28,2016-04-28T18:07:01Z
Josh Brown,Kickingitwith3,108,73,181,"Big get for the #Gmen! Welcome to the @Giants @EliApple13. #AppleToBigApple https://t.co/pxtSgPW2zL",01:29:19,2016-04-29,2016-04-29,2016-04-29T01:29:19Z
DIY Hacks,WeirdLifeHacks,106,61,167,Peel an apple easily https://t.co/ROaVSmU5z7,16:26:17,2016-04-28,2016-04-28,2016-04-28T16:26:17Z
LΔCashiShinQuerer ☾,iAngieArrocan,102,45,147,Yo soy así como los productos Apple. Nada más soy compatible conmigo misma.,01:48:28,2016-04-29,2016-04-29,2016-04-29T01:48:28Z
Guardia Civil,guardiacivil,100,150,250,"¿Un mail que simula ser #Apple te eligió para un premiazo si rellenas una encuesta?
Tú verás...#spam ganarás seguro https://t.co/KfG6N9AFLK",16:30:57,2016-04-28,2016-04-28,2016-04-28T16:30:57Z
BBC News (World),BBCWorld,95,108,203,Billionaire investor dumps Apple shares https://t.co/hVynLinbrW,05:57:31,2016-04-29,2016-04-29,2016-04-29T05:57:31Z
MIYAVI STAFF,MIYAVI_STAFF,95,39,134,"MIYAVI1年ぶりの新曲、もう間もなく配信開始です!!!!!
https://t.co/dlJhFqcI9b
#MIYAVI #GUITAR",14:44:43,2016-04-28,2016-04-28,2016-04-28T14:44:43Z
MyApple,MyAppleDotMy,92,94,186,Apple Malaysia kini telah ditukarkan kepada MyApple dengan wajah baru dan dlm beberapa minggu lagi kami akan terbitkan website sendiri. 😇,16:27:07,2016-04-28,2016-04-28,2016-04-28T16:27:07Z
Genius,Genius,89,82,171,"#VIEWS ON APPLE MUSIC RN SO CONFUSED/HAPPY 😩 😩 
https://t.co/KcSqFW899g https://t.co/R1FJPRaesJ",03:05:45,2016-04-29,2016-04-29,2016-04-29T03:05:45Z
Where To Cop,WhereToCop,89,104,193,"Drake #VIEWS on apple music today

Interview: 10:45pm EST
Album debut: 12am EST

Subscribe: https://t.co/dEdcAwfqla https://t.co/LkYmu63WzM",01:28:55,2016-04-29,2016-04-29,2016-04-29T01:28:55Z
MGM Studios,MGM_Studios,88,31,119,Escape this weekend and celebrate the 25th Anniversary of Thelma &amp; Louise: https://t.co/5oPUoOFWtm https://t.co/caJVCqnDpP,22:01:22,2016-04-28,2016-04-28,2016-04-28T22:01:22Z
Gatorade Philippines,GatoradePH,80,16,96,"Fuel your competitive edge with intense flavors. New Gatorade FIERCE Green Apple, now available at 7-Eleven! https://t.co/Y9cNbJK6DV",10:00:38,2016-04-28,2016-04-28,2016-04-28T10:00:38Z
GLIM SPANKY,glimspanky,80,13,93,"風の強い一日でしたね〜🌬本日も「話をしよう / 時代のヒーロー」の取材・撮影🌬

「話をしよう」先行配信中☞https://t.co/AV3uvGBrMT https://t.co/cEJpUs9SeM",10:20:25,2016-04-28,2016-04-28,2016-04-28T10:20:25Z
Kesha Brasil,keshabrsite,79,77,156,"""True Colors"" is OUT NOW on iTunes USA! https://t.co/rftrCuwNnI #BuyTrueColorsOniTunes https://t.co/pLEQ3viTyn",03:06:00,2016-04-29,2016-04-29,2016-04-29T03:06:00Z
Breitbart News,BreitbartNews,78,47,125,FBI Refuses to Tell Apple How San Bernardino Jihadi’s iPhone Was Hacked https://t.co/jzO6p9Mw7f,22:07:58,2016-04-28,2016-04-28,2016-04-28T22:07:58Z
"#TeamDrizzy",TeamDrizzy,78,91,169,Apple music in an hour!!!! Views in less than 3 hours!!! Its really happening!!!!!!! https://t.co/yl5xryioRj,01:47:49,2016-04-29,2016-04-29,2016-04-29T01:47:49Z
Gary Player,garyplayer,77,10,87,"Back in the Big Apple for a few days of work &amp; then some family time with my grandchildren. #lionking #NewYork https://t.co/SCx7YFyfNi",15:06:07,2016-04-28,2016-04-28,2016-04-28T15:06:07Z
Yung Rénzél,rickyrozay,75,68,143,"Get Boss emoji's now! 
https://t.co/gLZ5wRcmwI https://t.co/j2HO0mUA1m",21:58:01,2016-04-28,2016-04-28,2016-04-28T21:58:01Z
8123,8123,74,45,119,"Sincerely, John the Ghost - EP by John the Ghost | OUT NOW!!!  https://t.co/s5tOBfYk3u",04:28:34,2016-04-29,2016-04-29,2016-04-29T04:28:34Z
Lori Schmidt,LoriSchmidt,73,29,102,"Eli Apple told ESPN he almost didn't answer the phone when the Giants called, because it saw it was a NJ number and assumed it was a friend.",02:03:31,2016-04-29,2016-04-29,2016-04-29T02:03:31Z
وليد صالح الصالح,waleed800,72,120,192,"📌جديد
اليوم تم الانتهاء لتطبيق كبارالعلماء

🔴للايفون
https://t.co/t2knBuxAhI

🔴جلكسي اندرويد
https://t.co/YduadPnQmx https://t.co/TLzWNY05d3",14:21:07,2016-04-28,2016-04-28,2016-04-28T14:21:07Z
520 PROMOTIONS LLC,520Promotion,71,93,164,"SUPPORT A DOPE HARD WORKING ARTIST @Hollowz45 GO GRAB THAT NEW https://t.co/rfXq5QWNRC #520PROMO #RT",02:17:09,2016-04-29,2016-04-29,2016-04-29T02:17:09Z
CNN,CNN,68,240,308,"The 2016 election, by the numbers and on the go: The CNN Politics app https://t.co/MjjKSEEprb https://t.co/pYUfupYACv",14:30:01,2016-04-28,2016-04-28,2016-04-28T14:30:01Z
TexMoji,TexMoji,68,36,104,True. Very True. https://t.co/8VnsuNZLya https://t.co/ptWS8pOhLb,16:31:34,2016-04-28,2016-04-28,2016-04-28T16:31:34Z
The-Flow.ru,theflowmag,67,62,129,"#VIEWS

Новый альбом Drake появился в русском iTunes и Apple Music. Нам нужно твое мнение. 

https://t.co/SsPdJcxAO6 https://t.co/6GZPupqqSP",06:29:01,2016-04-29,2016-04-29,2016-04-29T06:29:01Z
武井勇輝,takei_corvo,66,32,98,"武井勇輝「MY NAME IS - EP」

ALBUM出たぜ😁

聞いてくれ https://t.co/5UY4Srs2hC",14:12:22,2016-04-28,2016-04-28,2016-04-28T14:12:22Z
Forbes,Forbes,65,63,128,A $24 billion revenue from services this year could match Apple's entire revenue from 2007 https://t.co/88trI7Dbcj https://t.co/kkA8SUndVE,22:16:00,2016-04-28,2016-04-28,2016-04-28T22:16:00Z
Maddie & Tae,MaddieandTae,64,17,81,"Y'all! @AppleMusic has our album #StartHere on sale for $6.99 this week!! Give it a listen and tell us your favs. 🎧 https://t.co/XLmec2SzZe",22:06:13,2016-04-28,2016-04-28,2016-04-28T22:06:13Z
CNN,CNN,63,26,89,Obsessed with the 2016 election? Us too. Get up to speed with us fast https://t.co/MjjKSEEprb https://t.co/69K8LhYqTB,23:54:58,2016-04-28,2016-04-28,2016-04-28T23:54:58Z
