picture_url,repeats
http://pbs.twimg.com/media/ChJ4JAnUgAA-sRC.jpg,13
http://pbs.twimg.com/media/ChHs7puUkAAKxsI.jpg,13
http://pbs.twimg.com/media/ChMieuPUkAAFcB7.jpg,13
http://pbs.twimg.com/media/ChI106kW4AA6r3o.jpg,13
http://pbs.twimg.com/media/ChLboYaVEAADhDL.jpg,13
http://pbs.twimg.com/ext_tw_video_thumb/725686333356777476/pu/img/jSNh8Rpj5ku5tINl.jpg,13
http://pbs.twimg.com/media/ChLEFakWwAA9bN0.jpg,13
http://pbs.twimg.com/media/ChLzuTIUUAAuxh0.jpg,13
http://pbs.twimg.com/media/ChLN2BxUkAAMujb.jpg,13
http://pbs.twimg.com/media/ChEOdh_WkAAcYRX.jpg,13
http://pbs.twimg.com/media/ChKUWiPXEAE8tYA.jpg,13
http://pbs.twimg.com/media/ChIsZ-_W0AA3uqC.jpg,12
http://pbs.twimg.com/media/ChLDughW4AADUGO.jpg,12
http://pbs.twimg.com/media/ChH9TXeUkAAoFzZ.jpg,12
http://pbs.twimg.com/media/ChKFWjZW4AgMDDw.jpg,12
http://pbs.twimg.com/ext_tw_video_thumb/723195366171090944/pu/img/zirPNqFG46ndKyxu.jpg,12
http://pbs.twimg.com/media/ChKVQ4_WYAAGgUD.jpg,12
http://pbs.twimg.com/media/ChJX3xVU8AAsq_b.jpg,12
http://pbs.twimg.com/media/ChJ4qcLU0AAh_ZO.jpg,12
http://pbs.twimg.com/media/ChAWRuOU8AAohQB.jpg,12
http://pbs.twimg.com/media/ChKVeQlUgAAsdHl.jpg,12
http://pbs.twimg.com/media/ChMRCfBUUAE8bHh.jpg,12
http://pbs.twimg.com/media/ChLb63jXEAA9esR.jpg,12
http://pbs.twimg.com/media/ChL0RmlUoAAcaLw.jpg,12
http://pbs.twimg.com/media/ChJzC1NWwAA3mS_.jpg,12
http://pbs.twimg.com/media/ChJlsijUkAAgmD_.jpg,12
http://pbs.twimg.com/media/ChK9yAeU4AAA6HI.jpg,12
http://pbs.twimg.com/media/ChHe8YxUkAAwHw-.jpg,12
http://pbs.twimg.com/media/ChHEmzxWkAABtPh.jpg,12
http://pbs.twimg.com/media/ChHsQdbWkAAPZOD.jpg,12
http://pbs.twimg.com/media/ChKTWpuW4AAkuGG.jpg,12
http://pbs.twimg.com/media/ChHH9LoUkAA0TeE.jpg,12
http://pbs.twimg.com/media/ChIp7gCXEAAaRCB.jpg,12
http://pbs.twimg.com/media/ChIWwGDW0AA9PvC.jpg,12
http://pbs.twimg.com/media/ChJ08iAXEAEIV_e.jpg,11
http://pbs.twimg.com/media/ChLufIvVEAE7l4H.jpg,11
http://pbs.twimg.com/ext_tw_video_thumb/725585366678294528/pu/img/AfUoBqvCqiWNEoMy.jpg,11
http://pbs.twimg.com/media/ChD8w5NU4AA2Xfg.jpg,11
http://pbs.twimg.com/ext_tw_video_thumb/717754522970402816/pu/img/ukwKTJaFtKFGDfcO.jpg,11
